id,created_at,favorite_count,retweet_count,text,unicode_data
1589233541182889986,2022-11-06 12:29:37+00:00,26,6,"Which one would you choose? 🤔

#BewakoofAsks #SRK #TeamIndia https://t.co/xbHb4NaoSz",🤔
1589225508352442369,2022-11-06 11:57:42+00:00,0,0,"@PaulTheWineGuy7 Hi Anurag!  We are really sorry for the unpleasant experience. we will try our best to get the order delivered within the next 72 hours, in case the order doesn't get delivered we will cancel the order and process the refund. We appreciate your patience in this regard.",
1589223475138465793,2022-11-06 11:49:37+00:00,0,0,@the_rishavraj Hi Rishav! We are sorry to hear that you have not received the order despite it showing as delivered. We have forwarded your concern to the courier partner and have asked them to investigate the case. Kindly allow us 72 hours time to get back to you with an update.,
1589222672667402240,2022-11-06 11:46:26+00:00,0,0,@AnubhawGoyal Hi Anubhav! We are sorry for the inconvenience caused to you. This is definitely not the service we want you to have with us. We have added 100 coins to the wallet and request you please raise the return request and the courier team will pick-up the order within 2-3 days.,
1589220824078336000,2022-11-06 11:39:05+00:00,0,0,@rochansrivasta1 Hi Rochan!  We are sorry your product hasn’t been delivered on time despite our best efforts. We are in discussion with our courier partner to deliver your shipment on top priority. We appreciate your support and patience in this regard.,’
1589203456052629508,2022-11-06 10:30:04+00:00,1048,576,"Our two favourite people in one frame 😍
So how high is the josh?

#ShehnaazGill #VickyKaushal https://t.co/FxFXB2CiwC",😍
1589195854170161152,2022-11-06 09:59:52+00:00,0,0,@the_rishavraj Hi Rishav! We are very sorry to know about your experience with us. Please let us know your order number or the ticket id if in case you have raised this with the care team and we promise to get this resolved quickly.,
1589187425527554048,2022-11-06 09:26:22+00:00,0,0,@AnubhawGoyal Hi Anubhav! Please share the product packaging and product images you received at the time of delivery. Please share the product tag/sticker images so we can verify this from our respective team.,
1589173251464388613,2022-11-06 08:30:03+00:00,8,2,"Nobody:
Literally nobody:
That one uncle in every wedding:

#TMKOC #TaarakMehtaKaOoltahChashmah #IndianWeddings https://t.co/af0qFMkMxd",
1589171596991905792,2022-11-06 08:23:28+00:00,0,0,@DuhitaBurade Hi there! We are very sorry to know about your experience with us. Please let us know your order number or the ticket id if in case you have raised this with the care team and we promise to get this resolved quickly.,
1589163433416658944,2022-11-06 07:51:02+00:00,0,0,@ana3chyCS Hi there! We apologize for the inconvenience caused to you. The concerned team will dispatch the order on or before the expected shipping date of 08/11/2022. Please get in touch with us or use the contact us option on our website if you need further assistance.,
1589154826516144129,2022-11-06 07:16:50+00:00,0,0,@ana3chyCS Hi there! Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number or the ticket id if in case you have raised this with the care team and we promise to get this resolved quickly.,
